LocNombre,indice_vulnerabilidad,indice_salud_100,indice_proteccion_100,indice_economico,indice_educacion_100
ANTONIO NARIÑO,37.01400123222678,2.0464961970784867,40.259099091943156,50.01232192375553,54.97166605575012
TUNJUELITO,50.17112798500207,13.273797930399189,60.74420892295732,72.39802724699496,57.52470952431794
RAFAEL URIBE URIBE,52.298510043741786,20.359457751276086,54.43681192373242,89.06190401477161,50.91661501593764
CANDELARIA,53.020749507096625,6.877430905173474,71.76373721009486,79.22711835961088,59.29630398464825
BARRIOS UNIDOS,36.432358089503204,21.396670212402455,59.32424320859392,39.10835531766651,30.356764070146326
TEUSAQUILLO,24.993923589254923,37.666863770866534,68.93536640517478,0,0
PUENTE ARANDA,44.5141020190984,15.038953114836989,47.63351025940031,57.708422545612805,57.712347429512675
LOS MARTIRES,27.102471163124925,0,0,70.16424324345358,38.61624195359551
SUMAPAZ,100,100,100,100,100
USAQUEN,39.18727089322938,28.776239440536354,59.148586534946126,29.88466377695749,40.17556215828722
CHAPINERO,27.34060291780455,24.74022420745585,52.68329010409739,12.205790259714957,21.95159789330335
SANTA FE,41.687984502850725,20.46374472621123,14.187782678593264,91.80084968536684,43.24678460838275
SAN CRISTOBAL,48.00724031657951,12.836808263744052,49.08444488720679,91.04544696118985,45.544718978584164
USME,60.705686326272904,40.80743181054051,57.03266216687023,98.19233003159536,52.78035314135209
CIUDAD BOLIVAR,55.77720023291325,23.113445149715748,59.3433704586253,94.16867571182995,52.753689538371226
BOSA,57.95777358308909,19.661920640008308,61.752302530972855,96.42319278162874,59.537765655339626
KENNEDY,47.93436492906824,11.800560393976886,60.75438625623237,72.24336787450683,51.42736455045743
FONTIBON,33.06183537958558,10.474628568000613,56.75843731913095,37.954117531775324,31.223915237336264
ENGATIVA,43.98158249866738,14.104047560448818,61.48485615934723,53.55974455669266,49.524685067245876
SUBA,46.675870232628085,28.49475365609105,65.02212664275558,49.08601862558864,46.86573696171438
