LocNombre,indice_vulnerabilidad
SUMAPAZ,100
USME,60.705686326272904
BOSA,57.95777358308909
CIUDAD BOLIVAR,55.77720023291325
CANDELARIA,53.020749507096625
RAFAEL URIBE URIBE,52.298510043741786
TUNJUELITO,50.17112798500207
SAN CRISTOBAL,48.00724031657951
KENNEDY,47.93436492906824
SUBA,46.675870232628085
PUENTE ARANDA,44.5141020190984
ENGATIVA,43.98158249866738
SANTA FE,41.687984502850725
USAQUEN,39.18727089322938
ANTONIO NARIÑO,37.01400123222678
BARRIOS UNIDOS,36.432358089503204
FONTIBON,33.06183537958558
CHAPINERO,27.34060291780455
LOS MARTIRES,27.102471163124925
TEUSAQUILLO,24.993923589254923
